4.603	67
4.611	49
4.618	59
4.626	64
4.634	47
4.642	48
4.649	55
4.657	50
4.665	50
4.672	54
4.68	60
4.688	58
4.696	61
4.703	60
4.711	49
4.719	48
4.727	38
4.734	62
4.742	54
4.75	60
4.757	56
4.765	50
4.773	54
4.78	42
4.788	47
4.796	37
4.804	45
4.811	47
4.819	50
4.827	45
4.834	39
4.842	47
4.85	47
4.857	55
4.865	65
4.873	52
4.88	47
4.888	40
4.896	49
4.904	48
4.911	47
4.919	52
4.927	48
4.935	48
4.942	45
4.95	72
4.958	53
4.965	48
4.973	56
4.981	49
4.988	48
4.996	55
5.004	44
5.011	43
5.019	63
5.027	62
5.035	47
5.042	53
5.05	43
5.058	53
5.066	33
5.074	39
5.081	40
5.089	53
5.097	51
5.104	51
5.112	41
5.12	53
5.128	47
5.135	40
5.143	53
5.151	52
5.159	41
5.167	52
5.174	55
5.182	64
5.19	48
5.197	50
5.205	54
5.213	47
5.221	52
5.228	65
5.237	61
5.244	53
5.252	62
5.26	59
5.267	44
5.275	55
5.283	54
5.291	59
5.298	50
5.306	51
5.314	46
5.321	47
5.329	53
5.337	44
5.344	48
5.352	53
5.36	49
5.368	56
5.376	48
5.383	41
5.391	54
5.399	50
5.406	56
5.414	52
5.422	60
5.43	40
5.438	57
5.446	46
5.453	44
5.461	54
5.469	42
5.477	49
5.484	61
5.492	51
5.5	51
5.507	39
5.515	50
5.523	56
5.53	42
5.538	46
5.546	64
5.553	69
5.561	49
5.569	48
5.577	54
5.585	51
5.593	47
5.6	53
5.608	37
5.616	54
5.624	61
5.631	36
5.639	48
5.647	57
5.655	67
5.663	60
5.67	57
5.678	45
5.686	65
5.693	59
5.701	53
5.709	45
5.716	55
5.724	50
5.732	52
5.739	49
5.747	51
5.755	48
5.763	56
5.771	54
5.779	53
5.786	45
5.794	49
5.802	47
5.81	41
5.817	39
5.825	40
5.833	56
5.841	54
5.849	66
5.857	63
5.864	45
5.872	59
5.88	51
5.888	40
5.896	57
5.903	39
5.912	44
5.919	43
5.927	58
5.935	53
5.943	53
5.95	47
5.958	44
5.966	56
5.974	47
5.982	55
5.989	45
5.997	63
6.005	43
6.013	48
6.02	53
6.028	47
6.036	46
6.044	62
6.051	54
6.059	50
6.067	49
6.075	53
6.083	55
6.091	39
6.099	45
6.106	49
6.114	46
6.122	46
6.13	47
6.137	49
6.145	40
6.153	45
6.161	52
6.169	43
6.176	53
6.184	47
6.192	38
6.2	48
6.207	43
6.215	53
6.223	46
6.231	38
6.239	56
6.246	60
6.254	44
6.262	41
6.27	54
6.277	58
6.285	46
6.293	49
6.301	60
6.309	41
6.316	47
6.324	56
6.332	51
6.34	47
6.347	56
6.355	60
6.363	43
6.371	48
6.379	47
6.386	57
6.394	49
6.402	52
6.41	57
6.417	39
6.425	58
6.433	43
6.441	55
6.449	48
6.456	54
6.464	42
6.472	50
6.48	58
6.487	43
6.496	36
6.503	38
6.511	46
6.519	40
6.526	45
6.534	51
6.542	56
6.549	42
6.557	41
6.565	55
6.573	47
6.581	57
6.589	53
6.596	49
6.604	50
6.612	57
6.62	42
6.628	54
6.636	38
6.643	39
6.651	44
6.659	42
6.667	51
6.674	60
6.682	37
6.69	50
6.698	50
6.706	58
6.713	50
6.721	42
6.729	56
6.737	43
6.745	40
6.752	51
6.76	45
6.768	52
6.776	50
6.784	42
6.792	47
6.799	55
6.807	45
6.815	48
6.823	49
6.831	39
6.839	51
6.846	38
6.854	51
6.862	36
6.87	42
6.878	49
6.886	41
6.894	50
6.901	47
6.909	48
6.917	44
6.924	46
6.932	46
6.94	49
6.948	40
6.956	50
6.964	47
6.971	39
6.979	46
6.987	42
6.995	42
7.002	38
7.01	41
7.018	44
7.026	54
7.034	45
7.042	46
7.049	47
7.057	57
7.065	37
7.073	55
7.081	55
7.089	61
7.096	55
7.104	44
7.112	53
7.119	50
7.128	62
7.135	44
7.143	47
7.151	50
7.159	48
7.167	47
7.174	47
7.182	62
7.19	41
7.198	39
7.206	51
7.213	51
7.221	47
7.229	32
7.236	50
7.244	43
7.252	43
7.26	62
7.268	65
7.276	54
